name,oblast
Port Benjaminstad,Reunion
Jillianland,Sudan
East Anthonymouth,Germany
East Melissaview,Montserrat
New Sharon,Bulgaria
Annamouth,Maldives
Veronicaside,Guadeloupe
Lauraton,Cameroon
Kimtown,China
Lake Kayla,Togo
South Kelly,Canada
New Noah,Netherlands Antilles
Markborough,Tokelau
Martinmouth,Oman
Whiteshire,Sao Tome and Principe
Port Lindaland,Comoros
Reyestown,Micronesia
Montesberg,Myanmar
North Tiffanyburgh,United States of America
Lake Keith,Antarctica (the territory South of 60 deg S)
Youngport,Uganda
West Jessica,Sudan
Hatfieldshire,Egypt
Jeffreymouth,United Kingdom
West Amanda,Mexico
Westtown,Malta
Youngshire,Mexico
Nguyenville,Gambia
Lake Danielberg,Philippines
Bryanberg,Malaysia
North Michael,Georgia
Kimberlychester,Malawi
Estradafort,Canada
Port Marcus,Antigua and Barbuda
Jamesbury,Macao
Brooksmouth,Liberia
Joshualand,Mali
Simmonsville,Ukraine
Milesmouth,Guyana
North Rebeccaberg,Saint Barthelemy
Jamesmouth,Jamaica
Davidstad,Burkina Faso
East Michellefurt,Latvia
Cherylmouth,Oman
Marciaberg,Taiwan
Singletonside,Georgia
Dannyland,Belgium
Port Justinville,Senegal
Port Oliviahaven,Dominica
New Jessica,Oman
Blairfort,Spain
West Joshua,Papua New Guinea
South Nathaniel,China
South Petermouth,Kyrgyz Republic
Mitchellside,Bolivia
Williamburgh,Montenegro
Martinberg,Hong Kong
Fergusonville,Solomon Islands
West Lauraborough,Cameroon
South Rhondachester,Cuba
Tracyberg,French Polynesia
South Jasmin,Eritrea
Lopezport,Palau
East Gregory,Andorra
Port Melissashire,Guinea
Johnville,Oman
Juarezchester,Central African Republic
South Sarahhaven,Chad
Jamesborough,Botswana
East Patriciafurt,Namibia
East Emily,Costa Rica
West Jacobside,United Arab Emirates
Kathryntown,Ukraine
Victoriastad,Peru
West Jennifer,Svalbard & Jan Mayen Islands
Port Pamelaberg,Christmas Island
New Jesseborough,Burkina Faso
Maddoxberg,Ecuador
Dianehaven,Gambia
West Maryhaven,New Caledonia
South Nancychester,New Caledonia
Coopermouth,Somalia
New Harold,Holy See (Vatican City State)
South Donaldmouth,Turkmenistan
South Brian,Kuwait
Jonathantown,Colombia
South Paul,Mozambique
South Michaelchester,Luxembourg
Millsburgh,Christmas Island
South Jeremyton,Cayman Islands
North Joshuaborough,Burkina Faso
Joshuaville,Kuwait
Lake Benjaminland,Finland
Gouldton,Switzerland
Malloryburgh,Senegal
North Jamesport,Nicaragua
Bobbystad,Andorra
Acostahaven,Cuba
Jacktown,Djibouti
Alvaradotown,Belgium
Rossland,Malawi
Justinfurt,Pitcairn Islands
Olsonmouth,Brazil
Angelaburgh,Chile
Jenniferfurt,Hungary
New Kevinmouth,French Guiana
Johnborough,Guatemala
Glennmouth,Vietnam
South Nicoleland,Cameroon
New Johnside,Antigua and Barbuda
South Elizabethside,Italy
Lake Shane,Antigua and Barbuda
Steinbury,Burkina Faso
Brianville,Christmas Island
New Nathanbury,United Kingdom
West Cheyennefurt,Belize
New Alanburgh,Nauru
Cruzfurt,Croatia
Danielborough,Saint Martin
East Gina,Antarctica (the territory South of 60 deg S)
Marychester,Malta
Robertmouth,Armenia
New Richard,Mauritius
Johnhaven,Ukraine
New Andre,Czech Republic
Dominguezstad,Madagascar
East Davidberg,North Macedonia
New Jessefort,Saint Barthelemy
East Dustintown,Canada
Hernandezberg,Djibouti
Lake Stacey,Switzerland
Friedmanfurt,Brazil
North Markhaven,Papua New Guinea
Sanderschester,Sao Tome and Principe
East Megan,Costa Rica
Port Brandon,Bolivia
Lake Donnamouth,Puerto Rico
Ballborough,Turkey
Marshmouth,Bahamas
West Sheena,Seychelles
Holthaven,Palau
Gonzaleztown,Cuba
New Wesley,Syrian Arab Republic
Terrymouth,Italy
Juliaburgh,Marshall Islands
East Bonniechester,Latvia
East Corey,Hong Kong
Danielberg,Anguilla
West Brandonburgh,Andorra
Gonzalezville,Ukraine
North Nicole,Cayman Islands
Fullertown,Ukraine
Lake Carolynfort,Tokelau
Hayeshaven,Nepal
New Kylie,Maldives
Williamland,Pitcairn Islands
Riverastad,Tuvalu
Taylormouth,Philippines
New Cody,Botswana
New Isaiah,Namibia
Anthonyhaven,Niger
Sosafurt,Portugal
Johnstonport,Saint Helena
Port Bryan,Bhutan
Walkerburgh,Mozambique
Lake Kellybury,Vietnam
South Ashleytown,United Arab Emirates
Kellymouth,Comoros
Lake Shannon,Cook Islands
Paulside,Tunisia
Devinmouth,Hungary
West Michealtown,Belize
East Susan,Mauritania
Lake Blakeland,Guinea-Bissau
Port Lauramouth,Albania
Johnstonport,Djibouti
North Lindsay,North Macedonia
Millerfurt,Pakistan
Marystad,Turkey
Port Joshuamouth,Bhutan
Yvettemouth,Brunei Darussalam
Patriciastad,Chile
South Andreaside,Denmark
Lake Justinborough,Equatorial Guinea
West Lisaside,Maldives
Port Seanfurt,Denmark
North Jamesborough,Saint Martin
Lake Kristenville,French Southern Territories
Tiffanybury,Czech Republic
Kristenmouth,Sudan
South Lynnborough,Ireland
New Caitlin,Western Sahara
Edwardsburgh,Slovenia
Dominiqueton,United States Minor Outlying Islands
Crystalberg,Macao
Laneport,Somalia
Angelashire,Greenland
Taylorfurt,Ethiopia
North Paul,Egypt
East Jacqueline,United Kingdom
Klineburgh,Mongolia
North Patricia,Norway
Lake Anthony,Central African Republic
West Samanthamouth,Libyan Arab Jamahiriya
New Johntown,Lesotho
South Shaun,British Indian Ocean Territory (Chagos Archipelago)
Lake Michael,Trinidad and Tobago
New Kevin,Grenada
Lake Sydneyhaven,Ghana
Port Lisa,Kyrgyz Republic
Jonesstad,Algeria
West Pamelafort,Wallis and Futuna
Whitefurt,Zambia
Lindaville,Honduras
Fitzgeraldville,Central African Republic
Brownton,Eritrea
Pattersonhaven,Pitcairn Islands
Villegasburgh,Seychelles
Rachelton,South Africa
West Andrew,Cote d'Ivoire
North John,Colombia
Lake Angela,American Samoa
Port Jenniferton,Yemen
South William,Tuvalu
Evanshire,Tajikistan
Stevenborough,Nicaragua
Larsonshire,Sierra Leone
North Scott,Myanmar
West Johnmouth,British Indian Ocean Territory (Chagos Archipelago)
Sarahside,Guinea-Bissau
Maynardshire,Saint Martin
New Denise,Northern Mariana Islands
Lake Lisamouth,British Indian Ocean Territory (Chagos Archipelago)
Stephanieshire,Macao
Figueroaton,Korea
East Kimberly,Seychelles
Davidmouth,Pitcairn Islands
North James,Cocos (Keeling) Islands
Hancockside,Turkmenistan
Port Michaelburgh,United Kingdom
Leslieland,Nicaragua
